Constituency,State,Winner,WinnerParty,WinnerVotes,RunnerUp,RunnerUpParty,RunnerUpVotes,Margin
Firozabad,Uttar Pradesh,AKSHAYA YADAV,Samajwadi Party,543037.0,VISHWADEEP SINGH,Bharatiya Janata Party,453725.0,89312.0
Chandni Chowk,NCT OF Delhi,PRAVEEN KHANDELWAL,Bharatiya Janata Party,516496.0,JAI PRAKASH AGARWAL,Indian National Congress,427171.0,89325.0
Vaishali,Bihar,VEENA DEVI,Lok Janshakti Party(Ram Vilas),567043.0,VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,477409.0,89634.0
Sitapur,Uttar Pradesh,RAKESH RATHOR,Indian National Congress,531138.0,RAJESH VERMA,Bharatiya Janata Party,441497.0,89641.0
Anand,Gujarat,MITESH PATEL (BAKABHAI),Bharatiya Janata Party,612484.0,AMIT CHAVDA,Indian National Congress,522545.0,89939.0
Adilabad,Telangana,GODAM NAGESH,Bharatiya Janata Party,568168.0,ATHRAM SUGUNA,Indian National Congress,477516.0,90652.0
Chikkodi,Karnataka,PRIYANKA SATISH JARKIHOLI,Indian National Congress,713461.0,ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party,622627.0,90834.0
SHIMLA,Himachal Pradesh,Suresh Kumar Kashyap,Bharatiya Janata Party,519748.0,Vinod Sultanpuri,Indian National Congress,428297.0,91451.0
Bhadrak,Odisha,AVIMANYU SETHI,Bharatiya Janata Party,573319.0,MANJULATA MANDAL,Biju Janata Dal,481775.0,91544.0
Sant Kabir Nagar,Uttar Pradesh,LAXMIKANT PAPPU NISHAD,Samajwadi Party,498695.0,PRAVIN KUMAR NISHAD,Bharatiya Janata Party,406525.0,92170.0
Kolkata Uttar,West Bengal,BANDYOPADHYAY SUDIP,All India Trinamool Congress,454696.0,TAPAS ROY,Bharatiya Janata Party,362136.0,92560.0
Siwan,Bihar,VIJAYLAKSHMI DEVI,Janata Dal  (United),386508.0,HENA SHAHAB,Independent,293651.0,92857.0
East Delhi,NCT OF Delhi,HARSH MALHOTRA,Bharatiya Janata Party,664819.0,KULDEEP KUMAR (MONU),Aam Aadmi Party,571156.0,93663.0
Nagarkurnool,Telangana,DR.MALLU RAVI,Indian National Congress,465072.0,BHARATH  PRASAD POTHUGANTI,Bharatiya Janata Party,370658.0,94414.0
Yavatmal,Maharashtra,SANJAY UTTAMRAO DESHMUKH,Shiv Sena (Uddhav Balasaheb Thackrey),594807.0,RAJSHRITAI HEMANT PATIL (MAHALLE),Shiv Sena,500334.0,94473.0
Maval,Maharashtra,SHRIRANG APPA CHANDU BARNE,Shiv Sena,692832.0,SANJOG BHIKU WAGHERE PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),596217.0,96615.0
Keonjhar,Odisha,ANANTA NAYAK,Bharatiya Janata Party,573923.0,DHANURJAYA SIDU,Biju Janata Dal,476881.0,97042.0
Dharwad,Karnataka,PRALHAD JOSHI,Bharatiya Janata Party,716231.0,VINOD ASOOTI,Indian National Congress,618907.0,97324.0
Valmiki Nagar,Bihar,SUNIL KUMAR,Janata Dal  (United),523422.0,DEEPAK YADAV,Rashtriya Janata Dal,424747.0,98675.0
KARAULI,Rajasthan,BHAJAN LAL JATAV,Indian National Congress,530011.0,INDU DEVI,Bharatiya Janata Party,431066.0,98945.0
Bellary,Karnataka,E. TUKARAM,Indian National Congress,730845.0,B. SREERAMULU,Bharatiya Janata Party,631853.0,98992.0
Jaunpur,Uttar Pradesh,BABU SINGH KUSHWAHA,Samajwadi Party,509130.0,KRIPASHANKAR SINGH,Bharatiya Janata Party,409795.0,99335.0
Aska,Odisha,ANITA SUBHADARSHINI,Bharatiya Janata Party,494226.0,RANJITA SAHU,Biju Janata Dal,394252.0,99974.0
Sangli,Maharashtra,VISHAL (DADA) PRAKASHBAPU PATIL,Independent,571666.0,SANJAY (KAKA) PATIL,Bharatiya Janata Party,471613.0,100053.0
Kasaragod,Kerala,RAJMOHAN UNNITHAN,Indian National Congress,490659.0,M.V BALAKRISHNAN MASTER,Communist Party of India  (Marxist),390010.0,100649.0
Arunachal West,Arunachal Pradesh,KIREN RIJIJU,Bharatiya Janata Party,205417.0,NABAM TUKI,Indian National Congress,104679.0,100738.0
Basti,Uttar Pradesh,RAM PRASAD CHAUDHARY,Samajwadi Party,527005.0,HARISH CHANDRA ALIAS HARISH DWIVEDI,Bharatiya Janata Party,426011.0,100994.0
Gaya,Bihar,JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),494960.0,KUMAR SARVJEET,Rashtriya Janata Dal,393148.0,101812.0
Godda,Jharkhand,NISHIKANT DUBEY,Bharatiya Janata Party,693140.0,PRADEEP YADAV,Indian National Congress,591327.0,101813.0
Jhansi,Uttar Pradesh,ANURAG SHARMA,Bharatiya Janata Party,690316.0,"PRADEEP JAIN ""ADITYA""",Indian National Congress,587702.0,102614.0
Gorakhpur,Uttar Pradesh,RAVINDRA SHUKLA ALIAS RAVI KISHAN,Bharatiya Janata Party,585834.0,KAJAL NISHAD,Samajwadi Party,482308.0,103526.0
CHIDAMBARAM,Tamil Nadu,THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,505084.0,CHANDRAHASAN M,All India Anna Dravida Munnetra Kazhagam,401530.0,103554.0
Banka,Bihar,GIRIDHARI YADAV,Janata Dal  (United),506678.0,JAI PRAKASH NARAYAN YADAV,Rashtriya Janata Dal,402834.0,103844.0
MANDLA,Madhya Pradesh,FAGGAN SINGH KULASTE,Bharatiya Janata Party,751375.0,OMKAR SINGH MARKAM,Indian National Congress,647529.0,103846.0
Kaushambi,Uttar Pradesh,PUSHPENDRA SAROJ,Samajwadi Party,509787.0,VINOD KUMAR SONKAR,Bharatiya Janata Party,405843.0,103944.0
Puri,Odisha,SAMBIT PATRA,Bharatiya Janata Party,629330.0,ARUP MOHAN PATNAIK,Biju Janata Dal,524621.0,104709.0
