Constituency,State,Winner,Party,"CAST(""Total Votes"" AS INTEGER)","CAST(""% of Votes"" AS FLOAT)"
Lalganj,Uttar Pradesh,DAROGA PRASAD SAROJ,Samajwadi Party,439959,43.85
Lucknow,Uttar Pradesh,RAJ NATH SINGH,Bharatiya Janata Party,612709,53.89
Mahabubabad,Telangana,BALRAM NAIK PORIKA,Indian National Congress,612774,55.27
Mainpuri,Uttar Pradesh,DIMPLE YADAV,Samajwadi Party,598526,56.79
PUDUCHERRY,Puducherry,VE VAITHILINGAM,Indian National Congress,426005,52.73
Purnia,Bihar,RAJESH RANJAN ALIAS PAPPU YADAV,Independent,567556,47.46
Satara,Maharashtra,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,Bharatiya Janata Party,571134,47.67
Sitapur,Uttar Pradesh,RAKESH RATHOR,Indian National Congress,531138,48.2
Tumkur,Karnataka,V. SOMANNA,Bharatiya Janata Party,720946,55.31
Alipurduars,West Bengal,MANOJ TIGGA,Bharatiya Janata Party,695314,48.92
Amalapuram,Andhra Pradesh,G M HARISH (BALAYOGI),Telugu Desam,796981,61.25
Amravati,Maharashtra,BALWANT BASWANT WANKHADE,Indian National Congress,526271,44.84
Aska,Odisha,ANITA SUBHADARSHINI,Bharatiya Janata Party,494226,48.55
BASTAR,Chhattisgarh,MAHESH KASHYAP,Bharatiya Janata Party,458398,45.5
BHOPAL,Madhya Pradesh,ALOK SHARMA,Bharatiya Janata Party,981109,65.48
Bhandara Gondiya,Maharashtra,DR. PRASHANT YADAORAO PADOLE,Indian National Congress,587413,47.56
Bhavnagar,Gujarat,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),Bharatiya Janata Party,716883,68.46
Bijapur,Karnataka,RAMESH JIGAJINAGI,Bharatiya Janata Party,672781,51.91
CHENNAI CENTRAL,Tamil Nadu,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,413848,56.65
DAMOH,Madhya Pradesh,RAHUL SINGH LODHI,Bharatiya Janata Party,709768,65.18
GANGANAGAR,Rajasthan,KULDEEP INDORA,Indian National Congress,726492,51.4
Haridwar,Uttarakhand,TRIVENDRA SINGH RAWAT,Bharatiya Janata Party,653808,50.19
JAIPUR,Rajasthan,MANJU SHARMA,Bharatiya Janata Party,886850,60.61
KANNIYAKUMARI,Tamil Nadu,VIJAYAKUMAR (Alias) VIJAY VASANTH,Indian National Congress,546248,53.08
KURUKSHETRA,Haryana,NAVEEN JINDAL,Bharatiya Janata Party,542175,44.96
Khagaria,Bihar,RAJESH VERMA,Lok Janshakti Party(Ram Vilas),538657,50.73
Kurnoolu,Andhra Pradesh,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,658914,49.51
Lohardaga,Jharkhand,SUKHDEO BHAGAT,Indian National Congress,483038,49.95
