State,Constituency,Candidate,Party,Votes,Rnk
Gujarat,Kheda,CHAUHAN DEVUSINH JESINGBHAI (CHAUHAN DEVUSINH),Bharatiya Janata Party,568235,1
Gujarat,Kheda,DINSHA PATEL,Indian National Congress,335334,2
Haryana,Hisar,DUSHYANT CHAUTALA,Indian National Lok Dal,494478,1
Haryana,Hisar,KULDEEP BISHNOI,Haryana Janhit Congress (BL),462631,2
Jammu & Kashmir,Srinagar,TARIQ HAMEED KARRA,Jammu & Kashmir Peoples Democratic Party,157923,1
Jammu & Kashmir,Srinagar,FAROOQ ABDULLAH,Jammu & Kashmir National Conference,115643,2
Karnataka,Belgaum,ANGADI SURESH CHANNABASAPPA,Bharatiya Janata Party,554417,1
Karnataka,Belgaum,LAXMI R. HEBBALKAR,Indian National Congress,478557,2
Karnataka,Hassan,H.D. DEVEGOWDA,Janata Dal  (Secular),509841,1
Karnataka,Hassan,MANJU. A.,Indian National Congress,409379,2
Karnataka,Kolar,K.H.MUNIYAPPA,Indian National Congress,418926,1
Karnataka,Kolar,KOLAR KESAVA,Janata Dal  (Secular),371076,2
Karnataka,Udupi Chikmagalur,SHOBHA KARANDLAJE,Bharatiya Janata Party,581168,1
Karnataka,Udupi Chikmagalur,K JAYAPRAKASH HEGDE,Indian National Congress,399525,2
Kerala,Ernakulam,PROF. K.V. THOMAS,Indian National Congress,353841,1
Kerala,Ernakulam,CHRISTY FERNANDEZ,Independent,266794,2
Kerala,Ponnani,E. T. MOHAMMED BASHEER,Indian Union Muslim League,378503,1
Kerala,Ponnani,V.ABDURAHMAN,Independent,353093,2
Kerala,Thiruvananthapuram,DR. SHASHI THAROOR,Indian National Congress,297806,1
Kerala,Thiruvananthapuram,SRI. O RAJAGOPAL,Bharatiya Janata Party,282336,2
Madhya Pradesh,UJJAIN,PROF. CHINTAMANI MALVIYA,Bharatiya Janata Party,641101,1
Madhya Pradesh,UJJAIN,PREMCHAND GUDDU,Indian National Congress,331438,2
Maharashtra,Bhiwandi,KAPIL MORESHWAR PATIL,Bharatiya Janata Party,411070,1
Maharashtra,Bhiwandi,PATIL VISHWANATH RAMCHANDRA,Indian National Congress,301620,2
Maharashtra,Chandrapur,AHIR HANSRAJ GANGARAM,Bharatiya Janata Party,508049,1
Maharashtra,Chandrapur,DEOTALE SANJAY WAMANRAO,Indian National Congress,271780,2
Rajasthan,Banswara,MANSHANKAR NINAMA,Bharatiya Janata Party,577433,1
Rajasthan,Banswara,RESHAM MALVIYA,Indian National Congress,485517,2
Rajasthan,Jalore,DEVJI PATEL,Bharatiya Janata Party,580508,1
Rajasthan,Jalore,ANJANA UDAI LAL,Indian National Congress,199363,2
Rajasthan,Kota,OM BIRLA,Bharatiya Janata Party,644822,1
Rajasthan,Kota,IJYARAJ SINGH,Indian National Congress,444040,2
Rajasthan,Nagaur,C R CHOUDHARY,Bharatiya Janata Party,414791,1
Rajasthan,Nagaur,DR JYOTI MIRDHA,Indian National Congress,339573,2
Tamil Nadu,Chennai central,S.R. VIJAYAKUMAR,All India Anna Dravida Munnetra Kazhagam,333296,1
Tamil Nadu,Chennai central,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,287455,2
Tamil Nadu,Salem,PANNERSELVAM.V,All India Anna Dravida Munnetra Kazhagam,556546,1
Tamil Nadu,Salem,UMARANI. S,Dravida Munnetra Kazhagam,288936,2
Tamil Nadu,Sriperumbudur,"RAMACHANDRAN, K.N. THIRU",All India Anna Dravida Munnetra Kazhagam,545820,1
Tamil Nadu,Sriperumbudur,"JAGATHRAKSHAKAN, S. THIRU",Dravida Munnetra Kazhagam,443174,2
Tamil Nadu,Tiruchirappalli,KUMAR.P,All India Anna Dravida Munnetra Kazhagam,458478,1
Tamil Nadu,Tiruchirappalli,ANBHALAGAN.MU,Dravida Munnetra Kazhagam,308002,2
Uttar Pradesh,Faizabad,LALLU SINGH,Bharatiya Janata Party,491761,1
Uttar Pradesh,Faizabad,MITRASEN YADAV,Samajwadi Party,208986,2
Uttar Pradesh,Fatehpur Sikri,BABULAL,Bharatiya Janata Party,426589,1
Uttar Pradesh,Fatehpur Sikri,SEEMA UPADHYAY,Bahujan Samaj Party,253483,2
Uttar Pradesh,Hamirpur,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,453884,1
Uttar Pradesh,Hamirpur,BISHAMBHAR PRASAD NISHAD,Samajwadi Party,187096,2
West Bengal,Arambagh,APARUPA PODDAR (AFRIN ALI),All India Trinamool Congress,748764,1
West Bengal,Arambagh,SAKTIMOHAN MALIK,Communist Party of India  (Marxist),401919,2
West Bengal,Balurghat,ARPITA GHOSH,All India Trinamool Congress,409641,1
West Bengal,Balurghat,BIMALENDU SARKAR (BIMAL),Revolutionary Socialist Party,302677,2
West Bengal,Birbhum,SATABDI ROY,All India Trinamool Congress,460568,1
West Bengal,Birbhum,DR. ELAHI KAMRE MAHAMMAD,Communist Party of India  (Marxist),393305,2
West Bengal,Dum dum,SAUGATA ROY,All India Trinamool Congress,483244,1
West Bengal,Dum dum,ASIM KUMAR DASGUPTA,Communist Party of India  (Marxist),328310,2
West Bengal,Srerampur,KALYAN BANERJEE,All India Trinamool Congress,514933,1
West Bengal,Srerampur,TIRTHANKAR RAY,Communist Party of India  (Marxist),362407,2
West Bengal,Tamluk,ADHIKARI SUVENDU,All India Trinamool Congress,716928,1
West Bengal,Tamluk,SEKH IBRAHIM ALI,Communist Party of India  (Marxist),470447,2
Andhra Pradesh,Kurnool,BUTTA RENUKA,Yuvajana Sramika Rythu Congress Party,472782,1
Andhra Pradesh,Kurnool,B.T. NAIDU,Telugu Desam,428651,2
Andhra Pradesh,Tirupati,VARAPRASAD RAO VELAGAPALLI,Yuvajana Sramika Rythu Congress Party,580376,1
Andhra Pradesh,Tirupati,KARUMANCHI JAYARAM,Bharatiya Janata Party,542951,2
Assam,Dibrugarh,RAMESWAR TELI,Bharatiya Janata Party,494364,1
Assam,Dibrugarh,PABAN SINGH GHATOWAR,Indian National Congress,309017,2
Assam,Lakhimpur,SARBANANDA SONOWAL,Bharatiya Janata Party,612543,1
Assam,Lakhimpur,RANEE NARAH,Indian National Congress,320405,2
Assam,Mangaldoi,RAMEN DEKA,Bharatiya Janata Party,486357,1
Assam,Mangaldoi,KIRIP CHALIHA,Indian National Congress,463473,2
Assam,Silchar,SUSHMITA DEV,Indian National Congress,336451,1
Assam,Silchar,KABINDRA PURKAYASTHA,Bharatiya Janata Party,301210,2
Assam,Tezpur,RAM PRASAD SARMAH,Bharatiya Janata Party,446511,1
Assam,Tezpur,BHUPEN KUMAR BORAH,Indian National Congress,360491,2
Bihar,Arrah,RAJ KUMAR SINGH,Bharatiya Janata Party,391074,1
Bihar,Arrah,SRIBHAGWAN SINGH KUSHWAHA,Rashtriya Janata Dal,255204,2
Bihar,Buxar,ASHWINI KUMAR CHOUBEY,Bharatiya Janata Party,319012,1
Bihar,Buxar,JAGADANAND SINGH,Rashtriya Janata Dal,186674,2
Bihar,Darbhanga,KIRTI AZAD,Bharatiya Janata Party,314949,1
Bihar,Darbhanga,MD. ALI ASHRAF FATMI,Rashtriya Janata Dal,279906,2
Bihar,Jahanabad,DR. ARUN KUMAR,Rashtriya Lok Samta Party,322647,1
Bihar,Jahanabad,SURENDRA PRASAD YADAV,Rashtriya Janata Dal,280307,2
Gujarat,Amreli,KACHHADIYA NARANBHAI BHIKHABHAI,Bharatiya Janata Party,436715,1
Gujarat,Amreli,THUMMAR VIRJIBHAI KESHAVBHAI (VIRJIBHAI THUMMAR),Indian National Congress,280483,2
Gujarat,Panchmahal,CHAUHAN PRABHATSINH PRATAPSINH,Bharatiya Janata Party,508274,1
Gujarat,Panchmahal,RAMSINH PARMAR,Indian National Congress,337678,2
Jammu & Kashmir,Udhampur,DR. JITENDRA SINGH,Bharatiya Janata Party,487369,1
Jammu & Kashmir,Udhampur,GHULAM NABI AZAD,Indian National Congress,426393,2
Karnataka,Bagalkot,GADDIGOUDAR PARVTAGOUDA CHANDANAGOUDA,Bharatiya Janata Party,571548,1
Karnataka,Bagalkot,AJAY KUMAR SARNAIK,Indian National Congress,454988,2
Maharashtra,Mumbai North,GOPAL CHINAYYA SHETTY,Bharatiya Janata Party,664004,1
Maharashtra,Mumbai North,SANJAY BRIJKISHORLAL NIRUPAM,Indian National Congress,217422,2
Maharashtra,Mumbai North West,GAJANAN CHANDRAKANT KIRTIKAR,Shivsena,464820,1
Maharashtra,Mumbai North West,KAMAT GURUDAS VASANT,Indian National Congress,281792,2
Maharashtra,Raigad,ANANT GEETE,Shivsena,396178,1
Maharashtra,Raigad,TATKARE SUNIL DATTATREY,Nationalist Congress Party,394068,2
NCT OF Delhi,NEW DELHI,MEENAKASHI LEKHI,Bharatiya Janata Party,453350,1
NCT OF Delhi,NEW DELHI,ASHISH KHETAN,Aam Aadmi Party,290642,2
Tamil Nadu,Dindigul,UDHAYA KUMAR .M,All India Anna Dravida Munnetra Kazhagam,510462,1
Tamil Nadu,Dindigul,GANDHIRAJAN S,Dravida Munnetra Kazhagam,382617,2
Tamil Nadu,Madurai,R.GOPALAKRISHNAN,All India Anna Dravida Munnetra Kazhagam,454167,1
Tamil Nadu,Madurai,V VELUSAMY,Dravida Munnetra Kazhagam,256731,2
Tamil Nadu,Thoothukkudi,JEYASINGH THIYAGARAJ NATTERJEE.J,All India Anna Dravida Munnetra Kazhagam,366052,1
Tamil Nadu,Thoothukkudi,JEGAN. P,Dravida Munnetra Kazhagam,242050,2
Tripura,Tripura East,JITENDRA CHOUDHURY,Communist Party of India  (Marxist),623771,1
Tripura,Tripura East,SACHITRA DEBBARMA,Indian National Congress,139413,2
Uttar Pradesh,Farrukhabad,MUKESH RAJPUT,Bharatiya Janata Party,406195,1
Uttar Pradesh,Farrukhabad,RAMESHWAR SINGH YADAV,Samajwadi Party,255693,2
Uttar Pradesh,Fatehpur,NIRANJAN JYOTI,Bharatiya Janata Party,485994,1
Uttar Pradesh,Fatehpur,AFZAL SIDDIQUI,Bahujan Samaj Party,298788,2
Uttar Pradesh,Gautam Buddha Nagar,DR.MAHESH  SHARMA,Bharatiya Janata Party,599702,1
Uttar Pradesh,Gautam Buddha Nagar,NARENDRA BHATI,Samajwadi Party,319490,2
Uttar Pradesh,Kaiserganj,BRIJ BHUSAN SHARAN SINGH,Bharatiya Janata Party,381500,1
Uttar Pradesh,Kaiserganj,VINOD KUMAR ALIAS  PANDIT SINGH,Samajwadi Party,303282,2
Uttar Pradesh,Shahjahanpur,KRISHNA RAJ,Bharatiya Janata Party,525132,1
Uttar Pradesh,Shahjahanpur,UMED SINGH KASHYAP,Bahujan Samaj Party,289603,2
Uttarakhand,Almora,AJAY TAMTA,Bharatiya Janata Party,348186,1
Uttarakhand,Almora,PRADEEP TAMTA,Indian National Congress,252496,2
West Bengal,Ghatal,ADHIKARI DEEPAK (DEV),All India Trinamool Congress,685696,1
West Bengal,Ghatal,SANTOSH RANA,Communist Party of India,424805,2
Andhra Pradesh,Chittoor,NARAMALLI SIVAPRASAD,Telugu Desam,594862,1
Andhra Pradesh,Chittoor,G.SAMANYAKIRAN,Yuvajana Sramika Rythu Congress Party,550724,2
Andhra Pradesh,Warangal,KADIYAM SRIHARI,Telangana Rashtra Samithi,661639,1
Andhra Pradesh,Warangal,RAJAIAH SIRICILLA,Indian National Congress,269065,2
Assam,Kokrajhar,NABA KUMAR SARANIA (HIRA),Independent,634428,1
Assam,Kokrajhar,URKHAO GWRA BRAHMA,Independent,278649,2
Bihar,Jamui (SC),CHIRAG KUMAR PASWAN,Lok Jan Shakti Party,285354,1
Bihar,Jamui (SC),SUDHANSU SHEKHAR BHASKAR,Rashtriya Janata Dal,199407,2
Bihar,Madhubani,HUKM DEO NARAYAN YADAV,Bharatiya Janata Party,358040,1
Bihar,Madhubani,ABDUL BARI SIDDIQUI,Rashtriya Janata Dal,337505,2
Bihar,Sasaram (SC),CHHEDI PASWAN,Bharatiya Janata Party,366087,1
Bihar,Sasaram (SC),MEIRA KUMAR,Indian National Congress,302760,2
Chhattisgarh,MAHASAMUND,CHANDU LAL SAHU (CHANDU BHAIYA),Bharatiya Janata Party,503514,1
Chhattisgarh,MAHASAMUND,AJIT JOGI,Indian National Congress,502297,2
Gujarat,Banaskantha,CHAUDHARY HARIBHAI PARTHIBHAI,Bharatiya Janata Party,507856,1
Gujarat,Banaskantha,PATEL JOITABHAI KASNABHAI,Indian National Congress,305522,2
Himachal Pradesh,Kangra,SHANTA KUMAR,Bharatiya Janata Party,456163,1
Himachal Pradesh,Kangra,CHANDER KUMAR,Indian National Congress,286091,2
Jharkhand,Dumka,SHIBU SOREN,Jharkhand Mukti Morcha,335815,1
Jharkhand,Dumka,SUNIL SOREN,Bharatiya Janata Party,296785,2
Kerala,Attingal,DR.A .SAMPATH,Communist Party of India  (Marxist),392478,1
Kerala,Attingal,ADV.BINDHU KRISHNA,Indian National Congress,323100,2
Madhya Pradesh,VIDISHA,SUSHMA SWARAJ,Bharatiya Janata Party,714348,1
Madhya Pradesh,VIDISHA,LAKSHMAN SINGH,Indian National Congress,303650,2
Maharashtra,Akola,DHOTRE SANJAY SHAMRAO,Bharatiya Janata Party,456472,1
Maharashtra,Akola,PATEL HIDAYAT ULLA BARKAT ULLA,Indian National Congress,253356,2
Maharashtra,Solapur,SHARAD BANSODE,Bharatiya Janata Party,517879,1
Maharashtra,Solapur,SHINDE SUSHILKUMAR SAMBHAJIRAO,Indian National Congress,368205,2
NCT OF Delhi,EAST DELHI,MAHEISH GIRRI,Bharatiya Janata Party,572202,1
NCT OF Delhi,EAST DELHI,RAJMOHAN GANDHI,Aam Aadmi Party,381739,2
Odisha,Berhampur,SIDHANT MOHAPATRA,Biju Janata Dal,398107,1
Odisha,Berhampur,CHANDRA SEKHAR SAHU,Indian National Congress,270387,2
Odisha,Bhubaneswar,PRASANNA KUMAR PATASANI,Biju Janata Dal,439252,1
Odisha,Bhubaneswar,PRITHIVIRAJ HARICHANDAN,Bharatiya Janata Party,249775,2
Punjab,Jalandhar,SANTOKH SINGH CHAUDHARY,Indian National Congress,380479,1
Punjab,Jalandhar,PAWAN KUMAR TINU,Shiromani Akali Dal,309498,2
Tamil Nadu,Dharmapuri,ANBUMANI RAMADOSS,Pattali Makkal Katchi,468194,1
Tamil Nadu,Dharmapuri,MOHAN.P.S,All India Anna Dravida Munnetra Kazhagam,391048,2
Tamil Nadu,Perambalur,"MARUTHARAJAA, R.P.",All India Anna Dravida Munnetra Kazhagam,462693,1
Tamil Nadu,Perambalur,"SEEMANUR  PRABU, S.",Dravida Munnetra Kazhagam,249645,2
Uttar Pradesh,Azamgarh,MULAYAM SINGH YADAV,Samajwadi Party,340306,1
Uttar Pradesh,Azamgarh,RAMAKANT YADAV,Bharatiya Janata Party,277102,2
Uttar Pradesh,Mirzapur,ANUPRIYA SINGH PATEL,Apna Dal,436536,1
Uttar Pradesh,Mirzapur,SAMUDRA BIND,Bahujan Samaj Party,217457,2
Uttar Pradesh,Rae Bareli,SONIA GANDHI,Indian National Congress,526434,1
Uttar Pradesh,Rae Bareli,AJAY AGRAWAL,Bharatiya Janata Party,173721,2
