State,Constituency,Candidate,Party,Votes,Rnk
Bihar,Nawada,GIRIRAJ SINGH,Bharatiya Janata Party,390248,1
Bihar,Nawada,RAJ BALLABH PRASAD,Rashtriya Janata Dal,250091,2
Chhattisgarh,RAIPUR,RAMESH BAIS,Bharatiya Janata Party,654922,1
Chhattisgarh,RAIPUR,SATYA NARAYAN SHARMA (SATTU BHAIYA),Indian National Congress,483276,2
Gujarat,Jamnagar,POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party,484412,1
Gujarat,Jamnagar,AHIR VIKRAMBHAI ARJANBHAI MADAM,Indian National Congress,309123,2
Haryana,Sirsa,CHARANJEET SINGH RORI,Indian National Lok Dal,506370,1
Haryana,Sirsa,ASHOK TANWAR,Indian National Congress,390634,2
Haryana,Sonipat,RAMESH CHANDER,Bharatiya Janata Party,347203,1
Haryana,Sonipat,JAGBIR SINGH MALIK,Indian National Congress,269789,2
Jammu & Kashmir,Jammu,JUGAL KISHORE,Bharatiya Janata Party,619995,1
Jammu & Kashmir,Jammu,MADAN LAL SHARMA,Indian National Congress,362715,2
Jharkhand,Palamau,VISHNU DAYAL RAM,Bharatiya Janata Party,476513,1
Jharkhand,Palamau,MANOJ KUMAR,Rashtriya Janata Dal,212571,2
Jharkhand,Ranchi,RAM TAHAL CHOUDHARY,Bharatiya Janata Party,448729,1
Jharkhand,Ranchi,SUBODH KANT SAHAY,Indian National Congress,249426,2
Karnataka,Raichur,B.V.NAYAK,Indian National Congress,443659,1
Karnataka,Raichur,ARAKERA SHIVANAGOUDA NAYAK,Bharatiya Janata Party,442160,2
Karnataka,Shimoga,B. S. YEDDYURAPPA,Bharatiya Janata Party,606216,1
Karnataka,Shimoga,MANJUNATH BHANDARY,Indian National Congress,242911,2
Kerala,Chalakudy,INNOCENT,Independent,358440,1
Kerala,Chalakudy,P C CHACKO,Indian National Congress,344556,2
Madhya Pradesh,GWALIOR,NARENDRA SINGH TOMAR,Bharatiya Janata Party,442796,1
Madhya Pradesh,GWALIOR,ASHOK SINGH,Indian National Congress,413097,2
Madhya Pradesh,KHAJURAHO,NAGENDRA SINGH,Bharatiya Janata Party,474966,1
Madhya Pradesh,KHAJURAHO,RAJA PATERIA,Indian National Congress,227476,2
Maharashtra,Buldhana,JADHAV PRATAPRAO GANPATRAO,Shivsena,509145,1
Maharashtra,Buldhana,INGLE KRUSHANARAO GANPATRAO,Nationalist Congress Party,349566,2
Maharashtra,Latur,DR. SUNIL BALIRAM GAIKWAD,Bharatiya Janata Party,616509,1
Maharashtra,Latur,BANSODE DATTATRAY GUNDERAO,Indian National Congress,363114,2
Maharashtra,gondiya,NANABHAU FALGUNRAO PATOLE,Bharatiya Janata Party,606129,1
Maharashtra,gondiya,PATEL PRAFUL MANOHARBHAI,Nationalist Congress Party,456875,2
Odisha,Puri,PINAKI MISRA,Biju Janata Dal,523161,1
Odisha,Puri,SUCHARITA MOHANTY,Indian National Congress,259800,2
Odisha,Sundargarh,JUAL @ JUEL ORAM,Bharatiya Janata Party,340508,1
Odisha,Sundargarh,DILIP KUMAR TIRKEY,Biju Janata Dal,321679,2
Punjab,Amritsar,CAPTAIN AMARINDER SINGH,Indian National Congress,482876,1
Punjab,Amritsar,ARUN JAITLEY,Bharatiya Janata Party,380106,2
Punjab,Hoshiarpur,VIJAY SAMPLA,Bharatiya Janata Party,346643,1
Punjab,Hoshiarpur,MOHINDER SINGH KAYPEE,Indian National Congress,333061,2
Rajasthan,Bhilwara,SUBHASH BAHERIA,Bharatiya Janata Party,630317,1
Rajasthan,Bhilwara,ASHOK CHANDNA,Indian National Congress,384053,2
Rajasthan,Jaipur,RAMCHARAN BOHARA,Bharatiya Janata Party,863358,1
Rajasthan,Jaipur,DR. MAHESH JOSHI,Indian National Congress,324013,2
Rajasthan,Udaipur,ARJUNLAL MEENA,Bharatiya Janata Party,660373,1
Rajasthan,Udaipur,RAGHUVIR SINGH,Indian National Congress,423611,2
Uttar Pradesh,Akbarpur,DEVENDRA SINGH @ BHOLE SINGH,Bharatiya Janata Party,481584,1
Uttar Pradesh,Akbarpur,ANIL SHUKLA WARSI,Bahujan Samaj Party,202587,2
Uttar Pradesh,Allahabad,SHYAMA CHARAN GUPTA,Bharatiya Janata Party,313772,1
Uttar Pradesh,Allahabad,KUNWAR REWATI RAMAN SINGH ALIAS MANI,Samajwadi Party,251763,2
Uttar Pradesh,Amethi,RAHUL GANDHI,Indian National Congress,408651,1
Uttar Pradesh,Amethi,SMRITI ZUBIN IRANI,Bharatiya Janata Party,300748,2
Uttar Pradesh,Banda,BHAIRON PRASAD MISHRA,Bharatiya Janata Party,342066,1
Uttar Pradesh,Banda,R. K. SINGH PATEL,Bahujan Samaj Party,226278,2
